,Speech
443," Eventually you will run out, and the laws of economicswill drive civilization towards sustainable energy, inevitably"
444," The fundamental valueof a company like Tesla is the degree to which it acceleratesthe advent of sustainable energy, faster than it would otherwise occur"
445," So when I think, like, what is the fundamental goodof a company like Tesla, I would say, hopefully, if it accelerated that by a decade,potentially more than a decade, that would be quite a good thing to occur"
446, That's what I consider to be the fundamentalaspirational good of Tesla
447, Then there's becoming a multiplanetspecies and space-faring civilization
448, This is not inevitable
449, It's very important to appreciatethis is not inevitable
450," The sustainable energy futureI think is largely inevitable, but being a space-faring civilizationis definitely not inevitable"
451," If you look at the progress in space, in 1969 you were ableto send somebody to the moon"
452, Then we had the Space Shuttle
453, The Space Shuttle could onlytake people to low Earth orbit
454," Then the Space Shuttle retired, and the United Statescould take no one to orbit"
455, So that's the trend
456, The trend is like down to nothing
457, People are mistaken when they think that technologyjust automatically improves
458, It does not automatically improve
459," It only improves if a lot of peoplework very hard to make it better, and actually it will, I think,by itself degrade, actually"
460," You look at great civilizationslike Ancient Egypt, and they were able to make the pyramids, and they forgot how to do that"
461," And then the Romans,they built these incredible aqueducts"
462, They forgot how to do it
463," I think the valueof beauty and inspiration is very much underrated, no question"
464, But I want to be clear
465, I'm not trying to be anyone's savior
466," But you'll tell me if it everstarts getting genuinely insane, right? "
467, Thank you very much for having me
468, I look forward to talking about the SpaceX Mars architecture
469," And what I really want to achieve here is to make Mars seem possible, make it seem as though it's something that we can do in our lifetimes and that you can go"
470, And is there really a way that anyone can go if they wanted to? I think that's really the important thing
471," So, I mean, first of all, why go anywhere? Right? I think there are really two fundamental paths"
472, History is going to bifurcate along two directions
473, One path is we stay on Earth forever and then there will be some eventual extinction event
474," I don't have an immediate doomsday prophecy, but eventually history suggests there will be some doomsday event"
475," The alternative is to become a space-faring civilization and a multiplanet species, which I hope you agree that is the right way to go"
476, That's what we want
477, So we're currently in the third little rock from the left
478, And our goal is to go to the fourth rock on the left
479," But you can get a sense for the real scale of the solar system, how big the sun is and Jupiter, Neptune, Saturn, Uranus"
480, And then the little guys on the right are Pluto and friends
481," This sort of helps to see, it's not quite to scale, but it gives you a better sense for where things are"
482," We have, in terms of nearby options, we've got Venus"
483, So that would be a tricky one
484, Venus is not at all like the goddess
485, This is not in no way similar to the actual goddess
486, So it is really difficult to make things work on Venus
487, Mercury is also way too close to the sun
488," We could go potentially on to one of the moons of Jupiter or Saturn, but those are quite far out, much further from the sun, a lot harder to get to"
489," Really, it leaves us with one option if we want to become a multiplanet civilization, and that's Mars"
490," We could conceivably go to our moon, and I have nothing against going to the moon, but I think it's challenging to become multiplanetary on the moon because it's much smaller than a planet"
491, It doesn't have any atmosphere
492, It's not as resource rich as Mars
493," It has a 28-day day, whereas the Mars day is 24 1/2 hours"
494," And in general, Mars is far better suited to ultimately scale up to a self-sustaining civilization"
495," In fact, we now believe that early Mars was a lot like Earth"
496," So, where things are right now, Mars is about half again as far from the sun as Earth"
497, So it has decent sunlight
498," It's a little cold, but we can warm it up"
499," It has a very helpful atmosphere which, in the case of Mars being primarily CO2 with some nitrogen and argon and a few other trace elements, means that we can grow plants on Mars just by compressing the atmosphere"
500," And it has nitrogen, too, which is also very important for growing plants"
501," It will be quite fun to be on Mars, because you will have gravity which is about 37% that of Earth, so you will be able to lift heavy things and bound around and have a lot of fun"
502, And the day is remarkably close to that of Earth
503," So we just need to change that bottom row, because currently we have 7 billion people on Earth and zero on Mars"
504," So there's been a lot of great work by NASA and other organizations in early exploration of Mars and understanding what Mars is like, where could we land, what's the composition of the atmosphere, where is there water, or ice, we should say"
505, And we need to go from these early exploration missions to actually building a city
506," The issue that we have today is that if you look at a Venn diagram, there's no intersection of sets of people who want to go and can afford to go"
507," In fact, right now you cannot go to Mars for infinite money"
508," Using traditional methods, you know, if taking sort of a holistic style approach, an optimistic cost number would be about $10 billion per person"
509," For example, the Apollo program, the cost estimates are somewhere between $100 billion to $200 billion in current-year dollars, and we sent 12 people to the surface of the moon, which was an incredible thing and I think probably one of the greatest achievements of humanity"
510, That's why these circles only just barely touch
511, So you can't create a self-sustaining civilization if the ticket price is $10 billion a person
512," And if we can get the cost of moving to Mars to be roughly equivalent to a median house price in the U.S., which is around $200,000, then I think the probability of establishing a self-sustaining civilization is very high"
513," In fact, I think a relatively small number of people from Earth would want to go"
514, But enough would want to go and who could afford the trip that it would happen
515, And people could get sponsorship
516," And I think it gets to the point where almost anyone, if they saved up and this was their goal, they could ultimately save up enough money to buy a ticket and move to Mars"
517, And Mars would have labor shortage for a long time so jobs would not be in short supply
518, But it is a bit tricky because we have to figure out how to improve the cost of trips to Mars by 5 million percent
519, This translates to an improvement of approximately 4 1/2 orders of magnitude
520, These are the key elements that are needed in order to achieve the 4 1/2 order of magnitude improvement
521," Most of the improvement would come from full reusability, somewhere between 2 and 2 1/2 orders of magnitude"
522," And then the other two orders of magnitude would come from refilling in orbit, propellant production on Mars and choosing the right propellant"
523, So I'm going to go into detail on all of those
524, Full reusability is really the super hard one
525," It's very difficult to achieve reusability for even an orbital system, and that challenge becomes even substantially greater for a system that has to go to another planet"
526," You could say a car, bicycle, horse"
527," If they were single-use, almost no one would use them"
528, It would be too expensive
529," But with frequent flights, you can take something like an aircraft that costs $90 million and if it was single use, you would have to pay half a million dollars per flight"
530, But you can actually buy a ticket on Southwest right now from L.A
531," to Vegas for $43, including taxes"
532, Right there it's showing a four order of magnitude improvement
533, So you get to use the spaceship part roughly every two years
534," Now, you get to use the booster and the tanker as frequently as you'd like"
535," So as I said, refilling in orbit is one of the essential elements of this"
536," Without refilling in orbit, you would have a half order of magnitude impact roughly on the cost"
537," By ""half order of magnitude,"" I think the audience mostly knows, but what that means is each order of magnitude is a factor of ten"
538," So not refilling in orbit would mean a 500%, roughly, increase in the cost per ticket"
539," It also allows us to build a smaller vehicle and lower the development cost, although this vehicle is quite big"
540, But it would be much harder to build something that's five to ten times the size
541, And it also reduces the sensitivity of performance characteristics of the booster rocket and tanker
542," So if there's a shortfall in the performance of any of the elements, you can actually make up for it by having one or two extra refilling trips to the spaceship"
543, And then producing propellants on Mars is actually also very obviously important
544, So 500% increase in the cost of the trip
545, And it would be pretty absurd to try to build a city on Mars if your spaceships just kept staying on Mars and not going back to Earth
546," you would have this, like, massive graveyard of ships"
547," You would have to, like, do something with them"
548, You really want to build a propellant plant on Mars and send the ships back
549," So and Mars happens to work out well for that because it has a CO2 atmosphere, it's got water rights in the soil, and with H2O and CO2 you can produce CH4, methane, and oxygen, O2"
550, So picking the right propellant is also important
551, Think of this as maybe there's three main choices
552," And they have their merits, but kerosene or rocket propellant-grade kerosene which is also what jets use"
553, Rockets use a very expensive form of highly refined form of jet fuel essentially which is a form of kerosene
554," It helps keep the vehicle size small, but because it's a very specialized form of jet fuel, it's quite expensive"
555, Your reusability potential is lower
556," Very difficult to make this on Mars, because there's no oil"
557, So really quite difficult to make the propellant on Mars
558, And then propellant transfer is pretty good but not great
559," Hydrogen, although it has a high specific impulse, is very expensive, incredibly difficult to keep from boiling off because liquid hydrogen is very close to absolute zero as a liquid"
560," So when we looked at the overall system optimization, it was clear to us that methane actually was the clear winner"
561, So it would require maybe anywhere from 50 to 60% of the energy on Mars to refill propellants using the propellant depot
562, And just the technical challenges are a lot easier
563," And we started off initially thinking that hydrogen would make sense, but ultimately came to the conclusion that the best way to optimize the cost per unit mass to Mars and back is to use an all-methane system, or technically deep-cryo Methalox"
564, So those are the four elements that need to be achieved
565, This is a simulation about the overall system
566, So what you saw there is really quite close to what we will actually build
567, So this is not an artist's impression
568, The simulation was actually made from the SpaceX engineering CAD models
569, This is what we plan to try to make it look like
570," In the video, you got a sense for what this system mock architecture looks like"
571," The rocket booster and the spaceship take off, loads the spaceship into orbit"
572, The rocket booster then comes back
573," It comes back quite quickly, within about 20 minutes"
574, So they look almost identical
575," This also helps slow the development cost, which obviously will not be small"
576, And then the propellant tanker goes up
577," Now, over time there would be many spaceships"
578," You would ultimately have, I think, upwards of a thousand or more spaceships waiting in orbit"
579, And so the Mars colonial fleet would depart en masse
580," Kind of like Battlestar Galactica, if you have seen that thing"
581, So it's a bit like that
582, But it actually makes sense to load the spaceships into orbit because you have got two years to do so and then make frequent use of the booster and the tanker to get really heavy reuse out of those
583," And then with the spaceship you get less reuse because you have to prepare for how long is it going to last? Well, maybe 30 years"
584, So that might be 12 to maybe 15 flights with the spaceship at most
585, So you really want to maximize the cargo of the spaceship and use the booster and the tanker a lot
586," So the ship goes to Mars, gets replenished, and then returns to Earth"
587, This is to give you a sense of size
588, It's quite big
589," The funny thing is in the long-term, the ships will be even bigger than this"
590, This will be relatively small compared to the Mars interplanetary ships of the future
591," But it kind of needs to be about this size because in order to fit a hundred people or thereabouts in the pressurized section plus carry the luggage and all of the unpressurized cargo to build propellant plants and build everything from iron foundries to pizza joints to you name it, we need to carry a lot of cargo"
592," If you only go every two years, if you have a hundred people per ship, that's 10,000 trips"
593," So I think at least a hundred people per trip is the right order of magnitude, and I think we may actually end up expanding the crew section and ultimately taking more like 200 or more people per flight in order to reduce the cost per person"
594, So you really want ultimately on the order of a thousand ships
595, It will take a while to build up to a thousand ships
596," And so I think if you say, When would we reach that million-person threshold? From the point at which the first ship goes to Mars, it's probably somewhere between 20 to 50 total Mars rendezvous"
597, So it's probably somewhere between maybe 40 to 100 years to achieve a fully self-sustaining civilization on Mars
598, So that's sort of the cross-section of the ship
599," In some way, it's not that complicated, really"
600, It's made primarily of an advanced carbon fiber
601, The carbon fiber part is tricky when dealing with deep cryogens and trying to achieve both liquid and gas impermeability and not have gaps occur due to cracking or pressurization that would make the carbon fiber leaky
602," So this is a fairly significant technical challenge, to make deep and cryogenic tanks out of carbon fiber"
603," And it's only recently that we think the carbon fiber technology has gotten to the point where we can actually do this without having to create a liner, some sort of metal liner, quad liner on the inside of the tanks, which would add mass and complexity"
604, It's particularly tricky for the hot gaseous oxygen pressurization
605," So this is designed to be autogenously pressurized, which means that the fuel and the oxygen, we gasify them through heat exchanges in the engine and use that to pressurize the tanks"
606, So we will gasify the methane and use that to pressurize the fuel tank
607, Gasify the oxygen
608, Use that to pressurize the oxygen tank
609," This is a much simpler system than what we have with Falcon 9, where we use helium for pressurization and we use nitrogen for gas thrusters"
610," In this case, we would autogenously pressurize and then use gaseous methane and oxygen for the control thrusters"
611," So really, you only need two ingredients for this, as opposed to four in the case of Falcon 9 and actually five if you consider the ignition liquid"
612, It's sort of a complicated liquid to ignite the engines
613, That isn't very usable
614, In this case we would use spark ignition
615," So this gives you a sense of vehicles by performance, sort of current and historic"
616, I don't know if you can actually read that
617," But in expandable mode, the vehicle, of course, we are proposing would do about 550 tons and about 300 tons in reusable mode"
618, That compares to satisfy max capability of 135 tons
619, But I think this really gives a better sense of things
620," The white bars show the performance of the vehicle; in other words, the payload-to-orbit of the vehicle"
621, So you can see essentially what it represents is what's the size efficiency of the vehicle
622, So it's the first time a rocket's sort of performance bar will actually exceed the physical size of the rocket
623, This gives you a more direct sort of comparison
624, So it's quite tectonic when it takes off
625," And in the future, we expect to add additional launch locations, probably adding one on the south coast of Texas"
626," But this gives you a sense of the relative capability, if you can read those"
627, But these vehicles have very different purposes
628," This is really intended to carry huge numbers of people, ultimately millions of tons of cargo to Mars"
629, So you really need something quite large in order to do that
630, So talk about some of the key elements of the interplanetary spaceship and rocket booster
631, We decided to start off the development with what we think are probably the two most difficult elements of the design
632, One is the Raptor engine
633, And this is going to be the highest chamber pressure engine of any kind ever built and probably the highest thrust-to-weight
634, It's a full-flow staged combustion engine which maximizes the theoretical momentum that you can get out of a given source fuel and oxidizer
635, We subcool the oxygen and methane to densify it
636," In our case, we actually build the propellants close to their freezing point"
637," That can result in a density improvement of up to around 10 to 12%, which makes an enormous difference in the actual results of the rocket"
638," Really one of the keys here, though, is the vacuum version of Raptor having a 382-second ISP"
639, This is really quite critical too to the whole Mars mission
640," And we can get to that number or at least within a few seconds of that number, ultimately maybe exceeding it slightly"
641, So the rocket booster in many ways is really a scaled-up version of the Falcon 9 booster
642," You will see a lot of similarities, such as the grid fins"
643, Obviously clustering a lot of engines at the base
644, And the big difference really being that the primary structure is an advanced form of carbon fiber as opposed to limited lithium and that we use autogenous pressurization and get rid of the helium and the nitrogen
645, So this uses 42 Raptor engines
646," It's a lot of engines, but we use an I.N"
647, on the Falcon 9
648," And with Falcon Heavy, which should launch early next year, there's 27 engines on the base"
649, So we've got pretty good experience with having a large number of engines
650, It also gives us redundancies
651," So that if some of the engines fail, you can still continue the mission and be fine"
652, But the main job of the booster is to accelerate the spaceship to around 8 1/2 thousand kilometers an hour
653," For those that are less familiar with orbital dynamics, really it's all about velocity and not about height"
654, So really that's the job of the booster
655, The booster is like the javelin thrower
656," You've got to toss that javelin, which is the spaceship"
657," But for most of the solar system, you only need the spaceship"
658, So you don't need the booster if you have a lower gravity well
659, No booster is needed on the moon or Mars or any of the moons of Jupiter or Pluto
660, You just need the spaceship
661, The booster is just there for heavy gravity wells
662, And then we've also been able to optimize the propellant needed for boost-back and landing to get it down to about 7% of the liftoff prop propellant load
663, We think with some optimization maybe we can get it down to about 6%
664, And we also are now getting quite comfortable with the accuracy of the landing
665," If you have been watching the Falcon 9 landings, you will see that they are getting increasingly closer too to the bull's-eye"
666, And then those fins at the base are essentially centering features to take out any minor position mismatch at the launch site
667, So that's what it looks like at the base
668, So we think we only need to gimbal or steer the center cluster of engines
669, There's seven engines in the center cluster
670," And, like, this is all designed so that you could actually lose multiple engines even at liftoff or anywhere in flight and continue the mission safely"
671," So for the spaceship itself, in the top, we have the pressurized compartment"
672, And I'll show you a fly-through of that in a moment
673, And then below that is the liquid oxygen tank
674, The liquid oxygen tank is probably the hardest piece of this whole vehicle because it's got to handle propellant at the coldest level and the tanks themselves actually form the air frame
675," So the air frame structure and the tank structure are combined, as it is in all modern rockets"
676," And in aircraft, for example, the wing is really a fuel tank in wing shape"
677," So it has to take the thrust loads of ascents, the loads of reentry, and then it has to be impermeable to gaseous oxygen, which is tricky, and non-reactive to gaseous oxygen"
678," So that's the hardest piece of the spaceship itself, which is actually why we started on that element as well"
679, And I'll show you some pictures of that later
680," And then below the oxygen tank is the fuel tank, and then the engines are mounted directly to the thrust cone on the base"
681, And then there are three of the sea-level versions of the engine which do gimbal and provide the steering
682, Although we can do some amount of steering if you're in space with differential thrust on the outside engines
683," The net effect is a cargo to Mars of up to 450 tons, depending upon how many refills you do with the tanker"
684, And the goal is at least 100 passengers per ship
685, Although I think we will see that number grow to 200 or more
686," This chart is a little difficult to interpret at first, but we decided to put it there for people who wanted to watch the video afterwards and sort of take a closer look and analyze some of the numbers"
687, The column on the left is probably what's most relevant
688, And that gives you the trip time
689," So depending upon which Earth-Mars rendezvous you are aiming for, the trip time at 6 kilometers per second departure blast speed can be as low as 80 days"
690," And then over time, I think we could probably improve that"
691," Ultimately, I suspect that you would see Mars transit times of as little as 30 days in the more distant future"
692," It's fairly manageable, considering the trips that people used to do in the old days would routinely take sailing voyages that would be six months or more"
693," So on arrival, the heat shield technology is extremely important"
694, We have been refining the heat shield technology using our Dragon spacecraft
695," We are now on version 3 of PICA, which is the phenolic-impregnated carbon ablator"
696," And it's getting more and more robust with each new version, with less ablation, more resistance, less need for refurbishment"
697, The heat shield is basically a giant brake pad
698, How it's like how good can you make that brake pad against the extreme conditions and the cost of refurbishment and make it so you could have many flights with no refurbishment at all
699, This is a fly-through of the crew compartment
700, I just want to give you a sense of what it would feel like to actually be in the spaceship
701," I mean, in order to make it appealing and increase that portion of the Venn diagram of people who actually want to go, it's got to be really fun and exciting, and it can't feel cramped or boring"
702," But the crew compartment or the occupant compartment is set up so you can do zero-G things, you can float around"
703," It would be like movies, ElectroPuls, cabins, a restaurant"
704," It will be, like, really fun to go"
705, You are going to have a great time
706," So the propellant plant on Mars, again, this is one of those slides that I won't go into in detail here, but people can take that offline"
707," The key point being that the ingredients are there on Mars to create a propellant plant with relative ease, because the atmosphere is primarily CO2 and there's water ice almost everywhere"
708, You've got the CO2 plus H2O to make methane CH4 and oxygen O2 using the Sabatier reaction
709," The trickiest thing really is the energy source, which think we can do with a large field of solar panels"
710," So then to give you a sense of the cost, really the key is making this affordable to almost anyone who wants to go"
711," And we think, based on this architecture, this architecture, assuming optimization over time, like the very first flights would be fairly expensive"
712," So we're right now estimating about $140,000 per ton to the trips to Mars"
713," So if a person plus their luggage is less than that, take into account food consumption and life support, then we think that the cost of moving to Mars ultimately could drop below $100,000"
714," So funding, talking about funding sources"
715," So we have steel underpants; launch satellites; send cargo to space station; Kickstarter, of course; followed by profit"
716, So obviously it's going to be a challenge to fund this whole endeavor
717," We do expect to generate pretty decent net cash flow from launching lots of satellites and serving the space station for NASA, transferring cargo to and from space station, and then I know there's a lot of people in the private sector who are interested in helping fund a base on Mars and then perhaps there will be interest on the government sector side to also do that"
718," Ultimately, this is going to be a huge public-private partnership"
719, So I think that's probably what occurs
720, And right now we're just trying to make as much progress as we can with the resources that we have available and just sort of keep moving both forward
721, And I should say also the main reason I'm personally accumulating assets is in order to fund this
722, So I really don't have any other motivation for personally accumulating assets except to be able to make the biggest contribution I can to making life multiplanetary
723, Not the best at this sort of thing
724, But just to show you where we started off
725," In 2002, SpaceX basically consisted of carpet and a mariachi band"
726, That was it
727, That's all of SpaceX in 2002
728," As you can see, I'm a dancing machine"
729," And, yeah, I believe in kicking off celebratory events with mariachi bands"
730, I really like mariachi bands
731, But that was what we started off with in 2002
732," And really, I mean, I thought we had maybe a 10% chance of doing anything, of even getting a rocket to orbit, let alone getting beyond that and taking Mars seriously"
733," But I came to the conclusion if there wasn't some new entrant into the space arena with a strong ideological motivation, then it didn't seem like we were on a trajectory to ever be a space-faring civilization and be out there among the stars"
734," Because, you know, in '69 we were able to go to the moon and the space shuttle could get to low-Earth orbit, and then after the space shuttle got retired"
735, But that trend line is down to zero
736, So I think what a lot of people don't appreciate is that technology does not automatically improve
737, It only improves if a lot of really strong engineering talent is applied to the problem that it improves
738, And there are many examples in history where civilizations have reached a certain technology level and then have fallen well below that and then recovered only millennia later
739," So we dropped the main engine, the upper stage engine, the air frames, the fairing and the launch system and had our first attempt at launch in 2006, which failed"
740," So that lasted about 60 seconds, unfortunately"
741," But it's 2006, four years after starting, is also when we actually got our first NASA contract"
742," And I just want to say I'm incredibly grateful to NASA for supporting SpaceX, you know, despite the fact that our rocket crashed"
743," Of course, I'm NASA's biggest fan"
744," So, you know, thank you very much to the people that had the faith to do that"
745," So then 2006, followed by a lot of grief"
746," And then, finally, the fourth launch of Falcon 1 worked in 2008"
747, And we were really down to our last pennies
748," In fact, I only thought I had enough money for three launches and the first three bloody failed"
749, And we were able to scrape together enough to just barely make it and do a fourth launch
750, And thank goodness that fourth launch succeeded in 2008
751, That was a lot of pain
752," And then also at the end of 2008 is when NASA awarded us the first major operational contract, which was for resupplying cargo to the space station and bringing cargo back"
753," Then a couple years later we did the first launch of Falcon 9, version 1"
754, And that had about a 10-ton-to-orbit capability
755," So it was about 20 times the capability of Falcon 1, and also was assigned to carry our Dragon spacecraft"
756, Then 2010 is our first mission to the space station
757, So we were able to finish development of Dragon and dock with the space station in 2010
758, 2012 is when we delivered and returned cargo from the space station
759, 2013 is when we first started doing boat take-off and landing tests
760, And then 2014 is when we were able to have the first orbital booster do a soft landing in the ocean
761, The landing was soft
762, The (inaudible) exploded
763, And we also improved the capability of the vehicle from 10 tons to about 13 tons to LEO
764," And then 2015, last year, in December, that was definitely one of the best moments of my life when the rocket booster came back and landed at Cape Canaveral"
765, That was really ..
766, So that really showed that we could bring an orbit-class booster back from a very high velocity all the way to the launch site and land it safely and with almost no refurbishment required for reflight
767," And if things go well, we're hoping to refly one of the landed boosters in a few months"
768, The landing on the ship is important for the very high-velocity geosynchronous missions
769, And that's important for reusability of Falcon 9 because about roughly a quarter of our missions are sort of servicing the space station
770, But then there's a few other low-Earth-orbit missions
771," But most of our missions, probably 60% of our missions, are commercial geo missions"
772, So we've got to do these high-velocity missions that really need to land on a ship out to sea
773, They don't have enough propellants on board to boost back to the launch site
774," So looking into the future, next steps, we were kind of intentionally a bit fuzzy about this time line"
775, But we were going to try to make as much progress as we can
776," Obviously, it's with a very constrained budget"
777," But we are going to try to make as much progress as we can on the elements of interplanetary transport booster and spaceship, and hopefully we'll be able to complete the first development spaceship in maybe about four years and start doing suborbital flights with that"
778," In fact, it has enough capability that you could maybe even go to orbit if you limit the amount of cargo with the spaceship"
779," But in tanker form, it could definitely get to orbit"
780," It can't get back, but it can get to orbit"
781," Actually, I was thinking like maybe there is some market for really fast transport of stuff around the world, provided we can land somewhere where noise is not a super big deal, because rockets are very noisy"
782, But we could transport cargo to anywhere on Earth in 45 minutes at the longest
783," So most places on Earth would be maybe 20, 25 minutes"
784," Really most of your time would be getting to the ship, and then it would be real quick after that"
785, So there's some intriguing possibilities there
786," Although, we're not counting on that"
787," But then trying to put it all together and make this actually work to Mars, if things go super well, it might be kind of in the ten-year time frame"
788, But I don't want to say that's when it will occur
789," It's, like, this huge amount of risk"
790, It's going to cost a lot
791," Good chance we don't succeed, but we're going to do our best and try to make as much progress as possible"
792, And we're going to try to send something to Mars on every Mars rendezvous from here on out
793," So Dragon 2, which is a propulsive lander, we plan to send to Mars in a couple years, and then do probably another Dragon mission in 2020"
794," In fact, we want to establish a steady cadence, that there's always a flight leaving, like there's a train leaving the station"
795," So if there's a lot of interest in putting payloads on Dragon, you know you can count on a ship that's going to transport something on the order of at least two or three tons of useful payloads to the surface of Mars"
796," That's part of the reason we designed Dragon 2, to be a propulsive lander"
797," As a propulsive lander, you can go anywhere in the solar system"
798, So you can go to the moon
799," And then anyplace that doesn't have a dense atmosphere, you can't use parachutes"
800, But propulsive works anywhere
801, So the Dragon should be capable of landing on any solid or liquid surface in the solar system
802," I just want to say thanks to the Raptor team for really working seven days a week to try to get this done in advance of the presentation, because I really wanted to show that we've made some hardware progress in this direction"
803, And the Raptor is a really tricky engine
804," It's a lot trickier than Merlin because it's a full-flow stage combustion, much higher pressure"
805, I'm kind of amazed it didn't blow up on the first firing
806," Fortunately, it was good"
807, It's kind of interesting to see the mock diamonds forming
808," And part of the reason for making the engine sort of small, Raptor, although it has three times the thrust of a Merlin is only about the same size as a Merlin engine because it has three times the operating pressure"
809, That means we can use a lot of the production techniques that we've honed with Merlin
810, We are currently producing Merlin engines at almost 300 per year
811, So we understand how to make rocket engines in volume
812, And this is a similarly sized engine to Merlin except for the expansion ratio
813, So we feel really comfortable about being able to make this engine in volume at a price that doesn't break our budget
814, We also wanted to make progress on the primary structure
815," So, as I mentioned, this is really a very difficult thing to make, to make something out of carbon fiber"
816," Just the sheer scale of it is also challenging, because you've got to lay out the carbon fiber in exactly the right way on a huge mold, and you've got to cure that mold at temperature"
817, So that's the other thing we want to focus on is the Raptor and then building the first development tank for the Mars spaceship
818, So this is really the hardest part of the spaceship
819, The other pieces we have a pretty good handle on
820, But this was the trickiest one
821, We wanted to tackle it first
822," You get a size for how big the tank is, which is really quite big"
823, Also big congratulations to the team that worked on that
824, They were also working seven days a week to try to get this done in advance of the IAC
825," We managed to build the first tank, and the initial tests with the cryogenic propellants actually look quite positive"
826, We have not seen any leaks or major issues
827, This is what the tank looks like on the inside
828, So you can get a real sense for just how big this tank is
829," It's actually completely smooth on the inside, but the way that the carbon fiber plies lay out and reflect the light makes it look faceted"
830," There's obviously the rocket booster, the spaceship, the tanker, and the propellant plant, the in situ propellant production"
831," If you have all of those four elements, you can actually go anywhere in the solar system by planet hopping or moon hopping"
832, So you can actually travel out to the Kuiper belt or the Earth cloud
833,"Sure, first of all, thank you for having me"
834, It’s an honor to be here
835, And I’m having a really great time with my kids in Dubai
836, It’s really been fantastic
837," I really encourage anyone who hasn’t been to visit, what a great city! Thank you"
838,"And, in terms of the motivations, I used to like this sort of… kind of a long version of the explanation but… essentially, when I was a kid I was wondering, what’s the meaning of life? Like, why are we here? What is it all about? And I came to the conclusion that what really matters is trying to understand the right questions to ask"
839," And the more that we can increase the scope and scale of human consciousness, the better we’re able to ask these questions"
840," And… So, I think there are certain things that are necessary to ensure that the future is good"
841, And… some of those things are in the long term having long term sustainable transport and sustainable energy generation
842, And to be a space exploring civilization
843, And for humanity to be out there among the stars
844, And be a multi-planetary species
845, I think that being a multi-planetary species and being out there among the stars is important for the long-term survival of humanity
846," And, that’s one reason, kind of like life insurance for life collectively"
847, Life as we know it
848," But then the part that I find personally most motivating is that it creates a sense of adventure, and it makes people excited about the future"
849," If you consider two futures, one where we are forever confined to Earth until eventually something terrible happens"
850," Or another future where we are out there on many planets, maybe even going beyond the solar system"
851, I think that space invasion is incredibly exciting and inspiring
852, And there need to be reasons to get up in the morning
853," You know, life can’t just be about solving problems"
854," Otherwise, what’s the point? There’s got to be things that people find inspiring and make life worth living"
855,I find that as I get older I find that question to be maybe more and more confusing or troubling or uncertain
856, Particularly when you see the advancement of something like video games
857," You know, 40 years ago, you had video games, the most advanced video game would be like Pong, when you had two rectangles and a dot"
858, And you’re like batting it back and forth
859," Yeah, we both played the same game"
860, And that was like a pretty fun game at the time
861," But now, you can see a video game that’s photo-realistic, almost photo-realistic, and millions of people playing simultaneously"
862," And, and you see where things are going with virtual reality"
863," And augmented reality and… if you extrapolate that out into the future with any rate of progress at all, like keeping 0.1% of something like that a year, then eventually those games will be indistinguishable from reality"
864, They’ll be so realistic you won’t be able to tell the difference between that game and reality as we know it
865," And then, it seems like, well, how do we know that that didn’t happen in the past? And that we’re not in one of those games ourselves"
866,"Well, I think this is one of those things that are quite difficult to predict"
867," When you think of, say, the first controlled power flight was in 1903 with the Wright Brothers"
868," And then, 66 years later we put the first people on the moon"
869," I mean, if you asked people, say, in 1900, what are the odds of landing on the moon they would’ve said that’s ridiculous"
870," If you try to talk to them about the internet they wouldn’t know what the heck you’re even… What are you talking about? Like, this sounds so crazy"
871," But today, with a hundred-dollar device you can video-conference with anyone in the world"
872," On the other side of the world, and if you have a Wi-Fi connection, it’s basically free"
873," You’re free to have an instant visual communication with anyone, or even with millions of people"
874," You know, with social media you can communicate to millions of people simultaneously"
875," So, and you can google something and ask any question"
876," It’s like an oracle of wisdom, that you can ask almost any questions and get an instant response"
877, It would be incredibly difficult to predict these things in the past
878, Even the relatively recent past
879," So, I think the one thing that we can be quite certain of is that any predictions we make today for what the future will be like in 50 years will be wrong That’s for sure"
880," I think directionally, I can tell you what I hope the future has, as opposed to maybe what it will be"
881, This may just be wishful thinking
882,"I mean I hope we are out there on Mars and maybe beyond Mars, Jupiter"
883," I hope we’re traveling frequently throughout the solar system, perhaps preparing for missions to nearby star systems"
884, I think all of that is possible in 50 years
885, And I think it’s going to be very exciting to do that
886," And, I think we’ll see autonomy and artificial intelligence advance tremendously"
887, Like that’s actually quite near term
888," My guess is in probably 10 years, it will be very unusual for cars to be built that are not fully autonomous"
889, I think almost all cars built will be able of full autonomy in about 10 years
890," As it is, the Tesla cars that are made today, have the sensor system necessary for full autonomy"
891, And we think probably enough compute power to be safer than a person
892," So, it’s mostly just the question of developing the software and uploading the software"
893," And if it turns out that more compute power is needed, we can easily upgrade the computer"
894," And, so that’s all Teslas built since October last year"
895, And other manufacturers will follow and do the same thing
896," So, getting in a car will be like getting in an elevator"
897," You just tell it where you want to go, and it takes you there with extreme levels of safety"
898," And that will be normal, that will just be normal"
899," Like, for elevators, they used to be elevator operators"
900," You get in, there will be a guy moving a lever"
901," Now, you just get in, you press the button and that’s taken for granted"
902," So, autonomy will be wide-spread"
903,I think one of the most troubling questions is artificial intelligence
904," And I don’t mean narrow AI, like, vehicle autonomy I would put in the narrow AI class"
905, It’s narrowly trying to achieve a certain function
906," But deep artificial intelligence, or what is sometimes called artificial general intelligence, where you can have AI that is much smarter than the smartest human on Earth"
907," This, I think, is a dangerous situation"
